Date,Daily Error,Rush Hour Error
Mon May  1 00:00:00 2017,29.34149455893123,26.18890904545094
Tue May  2 00:00:00 2017,36.88869790609491,32.79239305466797
Wed May  3 00:00:00 2017,21.005724311992694,31.036770962590577
Thu May  4 00:00:00 2017,25.060060195536153,28.485753520021873
Fri May  5 00:00:00 2017,11.93836096523139,20.2375521105837
Sat May  6 00:00:00 2017,28.410132752658615,57.14070649119633
Sun May  7 00:00:00 2017,22.400014504591937,25.16047950164715
Mon May  8 00:00:00 2017,38.490838703682115,44.05603309563318
Tue May  9 00:00:00 2017,35.761683911030666,48.94848904776311
Wed May 10 00:00:00 2017,25.692595394591205,29.677800194193075
Thu May 11 00:00:00 2017,42.5997897281316,104.22600202135568
Fri May 12 00:00:00 2017,23.50284697914364,34.367587222735295
Sat May 13 00:00:00 2017,15.373459416043325,28.580676881417773
Sun May 14 00:00:00 2017,33.97876414400682,52.381784738887276
Mon May 15 00:00:00 2017,35.18075915890408,37.35699638451814
Tue May 16 00:00:00 2017,21.11965704164907,32.037365055707795
Wed May 17 00:00:00 2017,28.594903846177424,54.72953669053199
Thu May 18 00:00:00 2017,40.77039075360944,98.43870523928446
Fri May 19 00:00:00 2017,26.890229438055616,38.26924179166245
Sat May 20 00:00:00 2017,15.634422864610706,28.768661028836025
Sun May 21 00:00:00 2017,8.462759347164939,8.094229797107754
Mon May 22 00:00:00 2017,17.412953624877222,20.969553264385937
Tue May 23 00:00:00 2017,27.359646529376505,30.51066776811356
Wed May 24 00:00:00 2017,21.080426448698667,31.028172648146537
Thu May 25 00:00:00 2017,37.52214916687115,66.85039873354498
Fri May 26 00:00:00 2017,36.60650775518443,28.246956289291543
Sat May 27 00:00:00 2017,16.70105240239713,28.57422100703455
Sun May 28 00:00:00 2017,6.1219299603451285,10.56803206874458
Mon May 29 00:00:00 2017,27.06315370357332,42.238905335597316
Tue May 30 00:00:00 2017,24.650902157407472,31.488430143111096
Wed May 31 00:00:00 2017,17.17859839660081,32.671732287184525
