,Train Loss,Validation Loss
1,45.308872383517894,20.9912594338899
2,15.888908310098532,11.970187433304325
3,12.367644427929282,8.842622587650908
4,11.680647510638806,9.354496191265763
5,11.35307239072515,8.874860081835033
6,11.192233939158022,8.733911893701041
7,11.035800012881953,8.792326069113175
8,10.875456629666761,8.53103713525666
9,10.759835722925905,8.839021269886297
10,10.588361544371592,8.70610676070268
11,10.594858002419802,8.842158779448505
12,10.420340742752094,8.686773640707829
13,10.329292928410327,8.89226088077364
14,10.255535761367634,8.829211755038163
15,10.282738053326806,8.864945805414603
16,10.168183635425748,9.221706744910996
17,10.147645402078847,9.023521648833402
18,10.171236770574446,8.924658774475043
19,10.057794913674774,9.031214856652804
20,9.927348887526035,9.120124960885681
21,9.819545605040336,9.162596964067028
22,9.80440633219996,9.704031602669788
23,9.712651745389186,9.581140785448012
24,9.728614829721675,9.295116160719198
25,9.552850447818347,9.251581018009494
26,9.46339744782534,9.624038843805218
27,9.865450826256517,8.84470016907193
28,9.532778832800036,9.176520243554132
29,9.254479862840796,9.49416260757754
30,9.35527083614201,9.004997278840738
31,9.264502250767327,9.584623868640605
32,9.376707196287075,9.361606885669051
33,9.155113540848635,9.269603769091296
34,9.39275207546111,9.23014564518433
35,9.276100265200174,9.460210774320855
36,9.169993298621488,9.042878575329285
37,9.014593303771171,9.183464556398357
38,9.063198338373208,9.222146559146143
39,9.262047898765818,9.183194622023558
40,9.300433531876696,8.840157300767933
41,9.216736616857801,9.089390992477377
42,8.803925739610957,9.217011854746863
43,8.754449333111939,9.176348049367201
44,8.73072777482975,9.009771541882587
45,8.657258140039712,9.07568015900564
46,8.561080166203384,9.26947784754965
47,8.631692390165972,8.933208526249
48,8.468833790472846,9.150902853217175
49,8.606513336131266,9.169041485235255
50,8.813266663241391,9.179018560810329
