,Train Loss,Validation Loss
1,63.10691634259172,41.06368758104719
2,32.734064914855274,25.962154015927204
3,26.70375799242616,24.592103789903835
4,25.58364618437885,24.302702254768377
5,25.159080371318947,24.592593319116446
6,24.838625712225056,23.80238025638247
7,24.405793601888476,23.765871961844464
8,24.0012115626796,23.447391860623746
9,23.778671765146985,23.484100250602907
10,23.60801212445959,23.396028085022625
11,23.420662426837826,23.109539604895105
12,23.177349950546503,23.002416124707576
13,23.101464622124556,23.315138845049983
14,22.82323382660759,22.832193940680103
15,22.764175950689683,22.773847088581505
16,22.69638204726283,22.770592622030623
17,22.503671488003587,23.05508249583026
18,22.572867139024734,22.392470317423875
19,22.2665310906166,22.472547787973053
20,22.280131683631385,22.33541735364691
21,22.06496316363887,22.427996472897178
22,22.158920941607594,22.746160883350438
23,22.082355189803803,22.321580712177553
24,21.87144316096722,22.469271883329935
25,21.797465224978684,22.49502236315525
26,21.65803897793639,22.86852688724459
27,21.643304823713162,22.570825152783925
28,21.496064299119865,22.771815120067462
29,21.44912513229064,22.395266997128882
30,21.38180045894623,22.530525320814625
31,21.17055210582638,22.628270273791188
32,21.095208379256075,22.87289365669085
33,20.93481731425257,22.520303311639246
34,20.92430759396035,22.791150225148936
35,20.822743854152353,23.451106063211068
36,20.860754390039595,23.26042249192268
37,20.664183946502714,22.70621175419454
38,20.743894784172504,23.23870584202746
39,20.692323089060054,23.548900634932135
40,20.687685528869327,23.209600440883733
41,20.58273831377013,22.395324034770784
42,20.59006145445351,23.515532094161735
43,20.606375032697564,22.94030822765064
44,20.557389711816686,22.498005394619646
45,20.500401588708044,22.993181541057496
46,20.445202645102242,23.098116155335358
47,20.37016612336889,23.33240173546693
48,20.291059329557076,23.081406837400724
49,20.31304427829134,22.850248236371343
50,20.260436250787986,23.167782224006494
