Date,Daily Error,Rush Hour Error
Mon May  1 00:00:00 2017,46.25189121898257,41.735756291135175
Tue May  2 00:00:00 2017,21.24870926820697,41.735756291135175
Wed May  3 00:00:00 2017,25.10895876951637,41.735756291135175
Thu May  4 00:00:00 2017,29.078935479562745,41.735756291135175
Fri May  5 00:00:00 2017,25.24644553419028,41.735756291135175
Sat May  6 00:00:00 2017,40.84156015707152,41.735756291135175
Sun May  7 00:00:00 2017,36.77573286254543,41.735756291135175
Mon May  8 00:00:00 2017,19.260365169192482,41.735756291135175
Tue May  9 00:00:00 2017,27.42500636854011,41.735756291135175
Wed May 10 00:00:00 2017,20.80757890455246,41.735756291135175
Thu May 11 00:00:00 2017,27.788463769068134,41.735756291135175
Fri May 12 00:00:00 2017,35.740028767251225,41.735756291135175
Sat May 13 00:00:00 2017,16.893820389007438,41.735756291135175
Sun May 14 00:00:00 2017,51.6529673530594,41.735756291135175
Mon May 15 00:00:00 2017,50.53480918154169,41.735756291135175
Tue May 16 00:00:00 2017,31.765309371294443,41.735756291135175
Wed May 17 00:00:00 2017,63.68053541261955,41.735756291135175
Thu May 18 00:00:00 2017,25.08427290092614,41.735756291135175
Fri May 19 00:00:00 2017,47.3009924704814,41.735756291135175
Sat May 20 00:00:00 2017,28.70326827795812,41.735756291135175
Sun May 21 00:00:00 2017,42.70388865273298,41.735756291135175
Mon May 22 00:00:00 2017,23.318084596715483,41.735756291135175
Tue May 23 00:00:00 2017,43.28798078853265,41.735756291135175
Wed May 24 00:00:00 2017,18.61550992301993,41.735756291135175
Thu May 25 00:00:00 2017,22.69257240127932,41.735756291135175
Fri May 26 00:00:00 2017,34.37922638991225,41.735756291135175
Sat May 27 00:00:00 2017,41.91674161852417,41.735756291135175
Sun May 28 00:00:00 2017,25.636150539274947,41.735756291135175
Mon May 29 00:00:00 2017,17.312330742396053,41.735756291135175
Tue May 30 00:00:00 2017,22.280209203064516,41.735756291135175
Wed May 31 00:00:00 2017,21.81434514549345,41.735756291135175
