ID,Date,Temperature,Precipitation,WindSpeed
17060,01/01/2016 00:00,-1,NULL,4.6
17060,01/01/2016 01:00,-1.6,NULL,5.1
17060,01/01/2016 02:00,-0.7,NULL,3.6
17060,01/01/2016 03:00,0.1,NULL,5.7
17060,01/01/2016 04:00,0.2,NULL,6.7
17060,01/01/2016 05:00,-1.3,NULL,3.6
17060,01/01/2016 06:00,-1.4,NULL,3.6
17060,01/01/2016 07:00,-1.3,NULL,5.7
17060,01/01/2016 08:00,-1.9,NULL,6.2
17060,01/01/2016 09:00,-0.2,NULL,5.7
17060,01/01/2016 10:00,-0.6,NULL,6.7
17060,01/01/2016 11:00,-0.2,NULL,5.7
17060,01/01/2016 12:00,0.3,NULL,5.7
17060,01/01/2016 13:00,1,NULL,4.6
17060,01/01/2016 14:00,-0.4,NULL,3.1
17060,01/01/2016 15:00,-0.6,NULL,2.1
17060,01/01/2016 16:00,-4.5,NULL,2.6
17060,01/01/2016 17:00,-4.7,NULL,3.1
17060,01/01/2016 18:00,-4.8,NULL,2.6
17060,01/01/2016 19:00,-5.5,NULL,2.6
17060,01/01/2016 20:00,-2.4,NULL,2.1
17060,01/01/2016 21:00,-3.5,NULL,3.6
17060,01/01/2016 22:00,-2.7,NULL,3.1
17060,01/01/2016 23:00,-2.9,NULL,3.1
17060,02/01/2016 00:00,-5.3,NULL,3.1
17060,02/01/2016 01:00,-5.2,NULL,4.1
17060,02/01/2016 02:00,-6.1,NULL,4.6
17060,02/01/2016 03:00,-5.5,NULL,3.1
17060,02/01/2016 04:00,-4.9,NULL,1.5
17060,02/01/2016 05:00,-3.6,NULL,3.1
17060,02/01/2016 06:00,-0.5,NULL,3.1
17060,02/01/2016 07:00,NULL,NULL,5.7
17060,02/01/2016 08:00,1.8,NULL,2.1
17060,02/01/2016 09:00,1.5,NULL,2.6
17060,02/01/2016 10:00,0.3,NULL,5.1
17060,02/01/2016 11:00,0.5,NULL,4.1
17060,02/01/2016 12:00,0.1,NULL,4.6
17060,02/01/2016 13:00,-0.2,NULL,4.6
17060,02/01/2016 14:00,1.1,NULL,4.6
17060,02/01/2016 15:00,0.3,NULL,4.6
17060,02/01/2016 16:00,-0.3,NULL,4.6
17060,02/01/2016 17:00,0.3,NULL,NULL
17060,02/01/2016 18:00,0.2,NULL,4.1
17060,02/01/2016 19:00,0.4,NULL,3.6
17060,02/01/2016 20:00,-0.3,NULL,4.1
17060,02/01/2016 21:00,0.5,NULL,3.1
17060,02/01/2016 22:00,0.4,NULL,3.1
17060,02/01/2016 23:00,0,NULL,4.1
17060,03/01/2016 00:00,0.4,NULL,3.1
17060,03/01/2016 01:00,0.5,NULL,3.1
17060,03/01/2016 02:00,0.8,NULL,NULL
17060,03/01/2016 03:00,0.7,NULL,3.1
17060,03/01/2016 04:00,0.5,NULL,3.1
17060,03/01/2016 05:00,0.7,NULL,3.6
17060,03/01/2016 06:00,1.2,NULL,4.1
17060,03/01/2016 07:00,1.3,NULL,4.1
17060,03/01/2016 08:00,1.4,NULL,4.6
17060,03/01/2016 09:00,2.2,NULL,4.6
17060,03/01/2016 10:00,1.5,NULL,4.1
17060,03/01/2016 11:00,1.8,NULL,4.1
17060,03/01/2016 12:00,1.7,NULL,4.1
17060,03/01/2016 13:00,3.2,NULL,NULL
17060,03/01/2016 14:00,2.7,NULL,NULL
17060,03/01/2016 15:00,1.8,NULL,4.6
17060,03/01/2016 16:00,1.7,NULL,NULL
17060,03/01/2016 17:00,1.7,NULL,6.2
17060,03/01/2016 18:00,1.9,NULL,5.7
17060,03/01/2016 19:00,2.5,NULL,4.6
17060,03/01/2016 20:00,2.8,NULL,NULL
17060,03/01/2016 21:00,2.8,NULL,4.6
17060,03/01/2016 22:00,3.3,NULL,5.1
17060,03/01/2016 23:00,2.8,NULL,4.6
17060,04/01/2016 00:00,4,NULL,4.6
17060,04/01/2016 01:00,3.1,NULL,NULL
17060,04/01/2016 02:00,2.2,NULL,2.1
17060,04/01/2016 03:00,2.5,NULL,3.6
17060,04/01/2016 04:00,NULL,NULL,5.1
17060,04/01/2016 05:00,2.8,NULL,2.6
17060,04/01/2016 06:00,3.6,NULL,2.1
17060,04/01/2016 07:00,4.4,NULL,3.6
17060,04/01/2016 08:00,4.7,NULL,3.6
17060,04/01/2016 09:00,5.2,NULL,3.6
17060,04/01/2016 10:00,5.6,NULL,3.1
17060,04/01/2016 11:00,5.9,NULL,3.1
17060,04/01/2016 12:00,5.9,NULL,1.5
17060,04/01/2016 13:00,5.8,NULL,3.1
17060,04/01/2016 14:00,5.1,NULL,2.6
17060,04/01/2016 15:00,4.7,NULL,2.1
17060,04/01/2016 16:00,4.4,NULL,2.6
17060,04/01/2016 17:00,5.3,NULL,2.1
17060,04/01/2016 18:00,5.2,NULL,2.1
17060,04/01/2016 19:00,5.8,NULL,1.5
17060,04/01/2016 20:00,5.8,NULL,2.1
17060,04/01/2016 21:00,6.8,NULL,3.1
17060,04/01/2016 22:00,6.8,NULL,3.6
17060,04/01/2016 23:00,7,NULL,1.5
17060,05/01/2016 00:00,7.4,NULL,2.6
17060,05/01/2016 01:00,7.2,NULL,3.6
17060,05/01/2016 02:00,7.5,NULL,3.1
17060,05/01/2016 03:00,8,NULL,4.1
17060,05/01/2016 04:00,8.6,NULL,4.1
17060,05/01/2016 05:00,8.9,NULL,3.1
17060,05/01/2016 06:00,9.6,NULL,NULL
17060,05/01/2016 07:00,10.3,NULL,2.6
17060,05/01/2016 08:00,10.5,NULL,4.1
17060,05/01/2016 09:00,10.5,NULL,3.1
17060,05/01/2016 10:00,10.3,NULL,4.1
17060,05/01/2016 11:00,9.3,NULL,6.7
17060,05/01/2016 12:00,9.2,NULL,2.6
17060,05/01/2016 13:00,9.9,NULL,NULL
17060,05/01/2016 14:00,8.4,NULL,3.6
17060,05/01/2016 15:00,8,NULL,3.6
17060,05/01/2016 16:00,7.8,NULL,3.6
17060,05/01/2016 17:00,7.4,NULL,3.6
17060,05/01/2016 18:00,7.8,NULL,3.6
17060,05/01/2016 19:00,8.5,NULL,NULL
17060,05/01/2016 20:00,8.9,NULL,NULL
17060,05/01/2016 21:00,5.2,NULL,4.1
17060,05/01/2016 22:00,5.2,NULL,3.1
17060,05/01/2016 23:00,7.9,NULL,3.1
17060,06/01/2016 00:00,8.9,NULL,3.1
17060,06/01/2016 01:00,7.4,NULL,3.1
17060,06/01/2016 02:00,7,NULL,3.6
17060,06/01/2016 03:00,7.6,NULL,2.6
17060,06/01/2016 04:00,8.1,NULL,3.1
17060,06/01/2016 05:00,8.2,NULL,3.1
