,Train Loss,Validation Loss
1,59.291861095255896,39.464327712448274
2,40.26388920612535,32.76906522439451
3,35.74684963484322,30.87726265313674
4,33.145538735707945,29.252927011373092
5,32.18398220018173,28.901259427167933
6,31.174063828729828,27.985361192907607
7,30.372659554738227,27.267290337961548
8,29.7814142788801,26.56380306579629
9,29.636793540517864,26.900722379587133
10,29.548863013435902,25.94592648744583
11,29.173718805884647,26.981670712938115
12,29.196247404454418,26.43665372352211
13,29.204461287973732,26.24783750821133
14,29.35987274281325,25.926483743044795
15,28.788405681269406,26.55796719205623
16,28.78297481641092,25.498227025781357
17,28.576536015756005,25.858636388973313
18,28.54515997098892,25.20056061355435
19,28.351909454285558,25.196277555154296
20,28.291539901710163,25.180364502935994
21,28.29059067650699,25.413103693602036
22,28.21292278269633,25.32454533844578
23,28.34983364745279,25.410727003399206
24,28.168427151505114,26.18047986346848
25,28.46691153667354,25.025129554223042
26,27.900147216183132,24.99838015254663
27,27.97255654844622,24.736973334331903
28,27.916630606620124,24.89619532774906
29,27.882060894260885,25.139180461971126
30,28.0238192205541,24.658205972642314
31,27.832332339752835,25.565680546419962
32,27.909864742440007,25.048025920683024
33,27.779469235891895,24.673183380341044
34,27.627057613122318,24.745995947292872
35,27.550410375686504,24.537819622730723
36,27.613973098299702,25.540306982945424
37,27.79055262265491,25.253131053885635
38,27.602910975492374,24.319849888889156
39,27.449482930344107,24.553410690657948
40,27.640999129774706,24.390139237958557
41,27.357832387924024,24.894524493995977
42,27.371513523722726,24.55381488191838
43,27.46358185272367,24.37103873248003
44,27.321368173470926,24.82923021000259
45,27.32772831334592,24.333947055193843
46,27.187515754293052,25.260819756254858
47,27.854436579479344,24.538292473676254
48,27.372803781938778,24.300602897089355
49,27.21158209447631,24.407943460406088
50,27.13458113024058,24.6123798453078
