DAY,ALL DAY,RUSH HOURS
Thursday,22.07714,16.384535
Friday,11.055412,14.688875
Saturday,15.652825,20.18196
Sunday,40.80017,68.750374
Monday,13.344133,18.51216
Tuesday,6.500036,15.996561
Wednesday,6.932144,15.192194
