Date,Daily Error,Rush Hour Error
Mon May  1 00:00:00 2017,40.54388219335888,46.00269405647677
Tue May  2 00:00:00 2017,30.903640670518953,46.00269405647677
Wed May  3 00:00:00 2017,34.73551178413754,46.00269405647677
Thu May  4 00:00:00 2017,10.712222778518333,46.00269405647677
Fri May  5 00:00:00 2017,19.306815554523883,46.00269405647677
Sat May  6 00:00:00 2017,42.89733843674392,46.00269405647677
Sun May  7 00:00:00 2017,51.527050415865794,46.00269405647677
Mon May  8 00:00:00 2017,41.37673724041707,46.00269405647677
Tue May  9 00:00:00 2017,19.01930963986231,46.00269405647677
Wed May 10 00:00:00 2017,38.83392237120043,46.00269405647677
Thu May 11 00:00:00 2017,16.15763674280146,46.00269405647677
Fri May 12 00:00:00 2017,23.008664291516727,46.00269405647677
Sat May 13 00:00:00 2017,44.30227086858065,46.00269405647677
Sun May 14 00:00:00 2017,198.03457776872003,46.00269405647677
Mon May 15 00:00:00 2017,34.84922693686059,46.00269405647677
Tue May 16 00:00:00 2017,18.179037688596193,46.00269405647677
Wed May 17 00:00:00 2017,15.916780914183525,46.00269405647677
Thu May 18 00:00:00 2017,44.76252034300138,46.00269405647677
Fri May 19 00:00:00 2017,36.54832493379398,46.00269405647677
Sat May 20 00:00:00 2017,27.16498495754894,46.00269405647677
Sun May 21 00:00:00 2017,57.5991578885643,46.00269405647677
Mon May 22 00:00:00 2017,22.61993927204421,46.00269405647677
Tue May 23 00:00:00 2017,15.336846000214097,46.00269405647677
Wed May 24 00:00:00 2017,13.539545114048387,46.00269405647677
Thu May 25 00:00:00 2017,20.17101727474617,46.00269405647677
Fri May 26 00:00:00 2017,22.098571285769566,46.00269405647677
Sat May 27 00:00:00 2017,40.034014925420685,46.00269405647677
Sun May 28 00:00:00 2017,44.11846232227739,46.00269405647677
Mon May 29 00:00:00 2017,25.607036456404867,46.00269405647677
Tue May 30 00:00:00 2017,20.031828735241643,46.00269405647677
Wed May 31 00:00:00 2017,18.46134459876062,46.00269405647677
