Date,Daily Error,Rush Hour Error
Mon May  1 00:00:00 2017,24.689915499628285,55.24772899643036
Tue May  2 00:00:00 2017,10.621721875239968,19.299991357660215
Wed May  3 00:00:00 2017,15.55446397177488,18.02368210587415
Thu May  4 00:00:00 2017,20.956904740022555,17.390643412811162
Fri May  5 00:00:00 2017,10.079291057018184,12.924712798773625
Sat May  6 00:00:00 2017,25.231125836532126,17.644336954320405
Sun May  7 00:00:00 2017,17.429113064447854,15.968621607298903
Mon May  8 00:00:00 2017,49.069591031730084,182.08202762091662
Tue May  9 00:00:00 2017,12.33274191503656,17.783265934527268
Wed May 10 00:00:00 2017,17.816585131930285,16.68329108878209
Thu May 11 00:00:00 2017,11.30815461903358,18.348030267883964
Fri May 12 00:00:00 2017,8.449094833854646,11.571679428396314
Sat May 13 00:00:00 2017,41.01988861253515,19.782470586361885
Sun May 14 00:00:00 2017,37.17738778649754,64.39658169816965
Mon May 15 00:00:00 2017,11.43081402037112,21.21339678056131
Tue May 16 00:00:00 2017,7.6196757574625895,14.26529082216802
Wed May 17 00:00:00 2017,10.503674165730956,15.19626202585407
Thu May 18 00:00:00 2017,16.35569587445066,13.581588724849667
Fri May 19 00:00:00 2017,19.111617170107632,43.010268987807514
Sat May 20 00:00:00 2017,17.394640931593198,20.174806078392937
Sun May 21 00:00:00 2017,20.589060784226316,26.573254485195218
Mon May 22 00:00:00 2017,9.15317554269806,23.047745447951506
Tue May 23 00:00:00 2017,6.714311978187516,12.654776556241883
Wed May 24 00:00:00 2017,7.732224529657628,15.168641201381526
Thu May 25 00:00:00 2017,48.58455651200543,14.511274502052263
Fri May 26 00:00:00 2017,39.109649810870636,50.287020438525275
Sat May 27 00:00:00 2017,19.31652329739937,40.153422112586696
Sun May 28 00:00:00 2017,34.81476899074275,62.68167000976842
Mon May 29 00:00:00 2017,10.31518950650021,22.74738782627167
Tue May 30 00:00:00 2017,11.215159415713352,22.212694530543043
Wed May 31 00:00:00 2017,9.561748997594385,25.30318549144703
