ID,lat,long,percentage,address,region
132,41.07202,28.87766,94.01,"Metris Esenler Baglantisi, Cevatpasa Mahallesi, Atisalani",Esenler
133,41.06658,28.88159,94.01,"Metris Esenler Baglantisi, Cevatpasa Mahallesi, Atisalani",Esenler
134,41.05893,28.88566,94.02,"Metris Esenler Baglantisi, Cevatpasa Mahallesi, Atisalani",Esenler
135,41.04557,28.88459,79.25,,Edirn
136,41.03835,28.88811,90.71,"Yavuz Selim Mahallesi, Esenler Merkez",Esenler
137,41.03382,28.89623,93.83,"Namik Kemal Mahallesi, Esenler Merkez",Esenler
138,41.02767,28.89894,91.41,"Namik Kemal Mahallesi, Ciftehavuzlar",Bayrampasa
139,41.07331,28.09101,4,"D100, Gumusyaka, Canta",Silivri
140,41.06885,28.10432,4.86,"D100, Gumusyaka, Canta",Silivri
141,41.07402,28.12104,4.67,"D100, Semizkumlar, Celtik",Silivri
142,41.08447,28.13485,4.77,"Semizkumlar, Celtik",Silivri
143,41.09072,28.14333,4.24,"Semizkumlar, Celtik",Silivri
144,41.09393,28.14687,4.59,"Semizkumlar, Celtik",Silivri
145,41.10496,28.15769,4.83,"Semizkumlar, Yolcati",Silivri
146,41.10902,28.16262,3.92,"Semizkumlar, Yolcati",Silivri
147,41.11407,28.17242,5.51,"Yolcati, Seymen",Silivri
148,41.117,28.18294,2.01,"Kucukkilicli, Alipasa",Silivri
149,41.10942,28.26152,1.98,Yenimahalle,Silivri
150,41.10163,28.25696,1.66,Piri Mehmet Pasa,Silivri
151,41.08917,28.24914,1.71,Piri Mehmet Pasa,Silivri
152,41.08297,28.24079,4.12,Piri Mehmet Pasa,Silivri
153,41.06058,28.37484,23.26,"Selimpasa Mahallesi, Selimpasa",Silivri
154,41.06948,28.384,22.28,"O-3, Selimpasa Mahallesi, Selimpasa",Silivri
155,41.05474,28.46739,1.41,"Kumburgaz Mahallesi, Kumburgaz",Buyukcekmece
156,41.04236,28.46884,2.21,"Kumburgaz TEM Baglanti Yolu, Kumburgaz Mahallesi, Kumburgaz",Buyukcekmece
157,41.03592,28.46091,1.43,"Kumburgaz TEM Baglanti Yolu, Kumburgaz Mahallesi, Kumburgaz",Buyukcekmece
158,41.02997,28.45953,1.04,"Kumburgaz Mahallesi, Kumburgaz",Buyukcekmece
159,41.08778,28.51052,3.84,,Edirn
160,41.13362,28.46932,6.96,"D569, Ferhatpasa Mahallesi",Catalca
161,41.12529,28.48115,4.19,"D569, Ferhatpasa Mahallesi",Catalca
162,41.1215,28.49319,4.22,"D569, Ferhatpasa Mahallesi, Ahmediye",Buyukcekmece
163,41.11309,28.50109,4.35,"D569, Ferhatpasa Mahallesi, Ahmediye",Buyukcekmece
164,41.10296,28.50775,7.94,"D569, Ferhatpasa Mahallesi, Ahmediye",Buyukcekmece
165,41.09589,28.51185,9.04,"D569, Ahmediye Mahallesi, Ahmediye",Buyukcekmece
166,41.08678,28.51493,12.14,"D569, Muratbey Merkez Mahallesi",Catalca
167,41.08507,28.51563,4.78,"D569, Muratbey Merkez Mahallesi",Catalca
168,41.07634,28.52263,3.71,"D569, Ulus Mahallesi, Ahmediye",Buyukcekmece
169,41.06897,28.5276,4.15,"D569, Ahmediye Mahallesi, Ahmediye",Buyukcekmece
170,41.05634,28.53632,5.36,"D569, Hurriyet Mahallesi, Tepecik",Buyukcekmece
171,41.04994,28.54259,4.17,"D569, Ulus Mahallesi, Tepecik",Buyukcekmece
172,41.04357,28.54503,4.6,"D569, Ulus Mahallesi, Tepecik",Buyukcekmece
173,41.03559,28.5514,5.58,"Ulus Mahallesi, Tepecik",Buyukcekmece
174,41.02719,28.55591,6.41,"D569, Ulus Mahallesi, Tepecik",Buyukcekmece
175,41.01885,28.5633,8.36,"Mimar Sinan Merkez Mahallesi, Tepecik",Buyukcekmece
176,41.08455,28.62976,18.91,"Akcaburgaz Mh., Kirac",Esenyurt
177,41.08083,28.62613,93.36,"34-84, Alkent 2000 Mahallesi",Buyukcekmece
178,41.06839,28.62032,65.88,"turkey house, Hadimkoy Yolu Caddesi, Cakmakli Mahallesi, Kirac",Esenyurt
179,41.05635,28.62634,65.92,"Golsehir Evleri, Hadimkoy Yolu Caddesi, Cakmakli Mahallesi, Kirac",Esenyurt
180,41.05141,28.62795,61.56,"Hadimkoy Yolu Caddesi, Cakmakli Mahallesi, Kirac",Esenyurt
181,41.04424,28.62765,64.77,"Hadimkoy Yolu Caddesi, Cakmakli Mahallesi, Kirac",Esenyurt
182,41.03481,28.62314,93.45,"Hadimkoy Yolu, Cakmakli Mahallesi",Buyukcekmece
183,41.02403,28.62872,32.12,"Istanbul cd., Cumhuriyet Mahallesi, Esenyurt, Istanbul, Marmara Bolgesi, 34522",Turki
184,41.0165,28.62624,23.76,Cumhuriyet Mahallesi,Buyukcekmece
185,41.05303,28.68315,29.16,Ardicli Mahallesi,Esenyurt
186,41.04506,28.69057,93.57,Ardicli,Esenyurt
187,41.03379,28.68684,93.75,"Talatpasa Mh., Esenyurt Belediyesi",Esenyurt
