,mape_20,mape_30
Maltepe,30.4818633087639,30.620330864155953
Sultanbeyli,9.129941495395645,9.115110611263763
Sisli,45.93728487149408,46.38742211102656
Atasehir,31.26914276718311,31.418105003378948
Kucukcekmece,28.482768430269378,28.332673027960052
Avcilar,46.1188283716332,46.40509313129752
Bogazici,20.71407105700551,20.86451541408783
Umraniye,34.11829086430277,34.38044277542501
FSM,19.331860920576826,19.363598381458733
