Date,Daily Error,Rush Hour Error
Tue Jan 10 00:00:00 2017,32.71740557906434,47.37336586738217
Fri Feb 10 00:00:00 2017,32.71740557906434,47.37336586738217
Mon Apr 10 00:00:00 2017,32.71740557906434,47.37336586738217
Wed May 10 00:00:00 2017,32.71740557906434,47.37336586738217
Sat Jun 10 00:00:00 2017,32.71740557906434,47.37336586738217
Mon Jul 10 00:00:00 2017,32.71740557906434,47.37336586738217
Thu Aug 10 00:00:00 2017,32.71740557906434,47.37336586738217
Sun Sep 10 00:00:00 2017,32.71740557906434,47.37336586738217
Tue Oct 10 00:00:00 2017,32.71740557906434,47.37336586738217
Fri Nov 10 00:00:00 2017,32.71740557906434,47.37336586738217
Sun Dec 10 00:00:00 2017,32.71740557906434,47.37336586738217
