,Train Loss,Validation Loss
1,57.140047278071656,30.77875746492844
2,27.355714043847197,26.69659022575638
3,23.768525871586984,21.93067268316891
4,22.637854518937793,21.726202620827596
5,22.002643666084023,21.10679323869794
6,21.583040543930068,20.85794660310164
7,21.3535333575692,20.848077382238106
8,21.091726479779247,20.641772068529573
9,20.91495391077632,20.159432131329744
10,20.737936760218698,20.136571961064494
11,20.540500646725892,19.590744478728183
12,20.34832587634668,19.808354526010465
13,20.122153734111492,19.747900365501323
14,20.113628677360357,19.84308809490614
15,19.961984565233973,19.607924936065537
16,19.843750997042164,19.269488688651805
17,19.730659724013954,19.19141264136974
18,19.674334882626603,19.96367971016942
19,19.609677474842833,19.731495288965096
20,19.478105442690246,19.80610825938563
21,19.41689314830371,19.69250551859538
22,19.289114055028346,19.090639115661702
23,19.199599296312126,18.980645011830074
24,19.130609241802976,19.01110728154473
25,18.973688827583814,18.912290816665976
26,18.79512462805614,18.618906953215173
27,18.759387952958235,18.794422362440375
28,18.53750388227302,18.928768932819366
29,18.42263543555255,18.87368757964035
30,18.42501774132644,18.665514478760382
31,18.354510195475953,18.68678250641806
32,18.252763537604796,18.98988653810221
33,18.22944830690739,18.66123095891809
34,18.099547380312682,18.34534741943455
35,18.099850797534668,18.47991617200195
36,18.10405261517617,18.301757076948775
37,18.047679237218468,18.888161865613792
38,17.94258026463854,18.222206433186823
39,17.98582252436065,18.832465166686685
40,17.942837653304423,18.678494066534075
41,17.843171063771912,18.862931687985697
42,17.777094620399122,18.249867222642386
43,17.803847821488475,18.29885078266957
44,17.743524507047628,18.178347156680186
45,17.7649987084525,18.486312706837946
46,17.758057359750378,18.52615441323181
47,17.76287429607094,18.204117792695225
48,17.646782672863672,18.315001575109353
49,17.594543475856522,18.194695237716893
50,17.63753532558039,18.414840712769486
