Date,Daily Error,Rush Hour Error
Wed Jun  1 00:00:00 2016,33.716609070212066,36.725091776168796
Thu Jun  2 00:00:00 2016,40.85409109347608,48.2400880442639
Fri Jun  3 00:00:00 2016,48.186522229933104,53.964167373576
Sat Jun  4 00:00:00 2016,30.475804505427675,37.90327283188997
Sun Jun  5 00:00:00 2016,30.522589684797968,35.38819346751739
Mon Jun  6 00:00:00 2016,25.988448497802274,37.169237363180095
Tue Jun  7 00:00:00 2016,19.72876975984626,35.155983211348314
Wed Jun  8 00:00:00 2016,43.69065942333661,70.7551393724197
Thu Jun  9 00:00:00 2016,33.64681236494292,35.05916361147589
Thu Jun  1 00:00:00 2017,33.716609070212066,36.725091776168796
Fri Jun  2 00:00:00 2017,40.85409109347608,48.2400880442639
Sat Jun  3 00:00:00 2017,48.186522229933104,53.964167373576
Sun Jun  4 00:00:00 2017,30.475804505427675,37.90327283188997
Mon Jun  5 00:00:00 2017,30.522589684797968,35.38819346751739
Tue Jun  6 00:00:00 2017,25.988448497802274,37.169237363180095
Wed Jun  7 00:00:00 2017,19.72876975984626,35.155983211348314
Thu Jun  8 00:00:00 2017,43.69065942333661,70.7551393724197
Fri Jun  9 00:00:00 2017,33.64681236494292,35.05916361147589
