Date,Daily Error,Rush Hour Error
Tue Jan 10 00:00:00 2017,25.576444705553595,53.383080587471234
Fri Feb 10 00:00:00 2017,25.576444705553595,53.383080587471234
Mon Apr 10 00:00:00 2017,25.576444705553595,53.383080587471234
Wed May 10 00:00:00 2017,25.576444705553595,53.383080587471234
Sat Jun 10 00:00:00 2017,25.576444705553595,53.383080587471234
Mon Jul 10 00:00:00 2017,25.576444705553595,53.383080587471234
Thu Aug 10 00:00:00 2017,25.576444705553595,53.383080587471234
Sun Sep 10 00:00:00 2017,25.576444705553595,53.383080587471234
Tue Oct 10 00:00:00 2017,25.576444705553595,53.383080587471234
Fri Nov 10 00:00:00 2017,25.576444705553595,53.383080587471234
Sun Dec 10 00:00:00 2017,25.576444705553595,53.383080587471234
