Date,Daily Error,Rush Hour Error
Mon May  1 00:00:00 2017,26.819573890643674,42.04500569842609
Tue May  2 00:00:00 2017,21.555682275198553,42.04500569842609
Wed May  3 00:00:00 2017,19.746207831247183,42.04500569842609
Thu May  4 00:00:00 2017,16.630247836280656,42.04500569842609
Fri May  5 00:00:00 2017,24.1713770916181,42.04500569842609
Sat May  6 00:00:00 2017,31.92755572971961,42.04500569842609
Sun May  7 00:00:00 2017,19.469945986531737,42.04500569842609
Mon May  8 00:00:00 2017,15.988035787981666,42.04500569842609
Tue May  9 00:00:00 2017,28.38630966114217,42.04500569842609
Wed May 10 00:00:00 2017,19.653321460687167,42.04500569842609
Thu May 11 00:00:00 2017,27.63944826852348,42.04500569842609
Fri May 12 00:00:00 2017,27.682439296066924,42.04500569842609
Sat May 13 00:00:00 2017,34.00309766948834,42.04500569842609
Sun May 14 00:00:00 2017,33.9126469096287,42.04500569842609
Mon May 15 00:00:00 2017,33.70084777427048,42.04500569842609
Tue May 16 00:00:00 2017,26.395636638452658,42.04500569842609
Wed May 17 00:00:00 2017,22.276013856064296,42.04500569842609
Thu May 18 00:00:00 2017,33.087106334096475,42.04500569842609
Fri May 19 00:00:00 2017,28.24369760933887,42.04500569842609
Sat May 20 00:00:00 2017,13.387821815084287,42.04500569842609
Sun May 21 00:00:00 2017,24.060260001058904,42.04500569842609
Mon May 22 00:00:00 2017,18.2448950745637,42.04500569842609
Tue May 23 00:00:00 2017,14.952613074972255,42.04500569842609
Wed May 24 00:00:00 2017,20.21074757634933,42.04500569842609
Thu May 25 00:00:00 2017,28.54244280595138,42.04500569842609
Fri May 26 00:00:00 2017,21.987389432815462,42.04500569842609
Sat May 27 00:00:00 2017,22.59944046701471,42.04500569842609
Sun May 28 00:00:00 2017,13.991307303271917,42.04500569842609
Mon May 29 00:00:00 2017,20.782468759350504,42.04500569842609
Tue May 30 00:00:00 2017,26.173151563735683,42.04500569842609
Wed May 31 00:00:00 2017,17.469053884146895,42.04500569842609
