Date,Daily Error,Rush Hour Error
Thu Jun  1 00:00:00 2017,19.67433783135057,24.779754142991184
Fri Jun  2 00:00:00 2017,18.433041051119446,19.35117845525339
Sat Jun  3 00:00:00 2017,23.886215365140806,38.17005091766579
Sun Jun  4 00:00:00 2017,36.684823464842424,39.71206700218022
Mon Jun  5 00:00:00 2017,26.460418119017007,24.961830538257672
Tue Jun  6 00:00:00 2017,33.11857715005568,31.201384187412334
Wed Jun  7 00:00:00 2017,25.813595672456284,20.383526263486097
Thu Jun  8 00:00:00 2017,38.559962407735014,54.05546451365171
Fri Jun  9 00:00:00 2017,18.55670012292368,23.11041390812106
