Date,Daily Error,Rush Hour Error
Mon May  1 00:00:00 2017,21.227054757416834,10.780858717408485
Tue May  2 00:00:00 2017,28.998481686349205,27.903473831089805
Wed May  3 00:00:00 2017,14.465770379011733,24.411907460305404
Thu May  4 00:00:00 2017,21.59772256014178,23.814813082434412
Fri May  5 00:00:00 2017,9.496562080874599,14.363954413819496
Sat May  6 00:00:00 2017,21.016366306680155,46.78314530274045
Sun May  7 00:00:00 2017,16.608884523660713,23.619464532564134
Mon May  8 00:00:00 2017,28.40901589645306,40.038630594453686
Tue May  9 00:00:00 2017,24.200693484540647,28.566534529676133
Wed May 10 00:00:00 2017,19.97726158650433,29.785227203157717
Thu May 11 00:00:00 2017,29.403721888271136,79.94750223567435
Fri May 12 00:00:00 2017,21.305930585530053,23.129813620983875
Sat May 13 00:00:00 2017,13.527341647123027,18.969202211916368
Sun May 14 00:00:00 2017,24.06091561077892,40.874465057775986
Mon May 15 00:00:00 2017,21.758366678034772,21.486762762659698
Tue May 16 00:00:00 2017,16.24095591706923,23.411933693766738
Wed May 17 00:00:00 2017,21.375460406330394,29.472296274911905
Thu May 18 00:00:00 2017,21.701648542896308,47.15250619975317
Fri May 19 00:00:00 2017,18.9863388939417,27.74746896579749
Sat May 20 00:00:00 2017,9.39762522534255,18.558702304322495
Sun May 21 00:00:00 2017,6.607050351782652,5.9439927439173665
Mon May 22 00:00:00 2017,18.37214845638631,23.91153075904368
Tue May 23 00:00:00 2017,24.755048422674925,26.39087476541836
Wed May 24 00:00:00 2017,19.09459950796827,22.667031060388737
Thu May 25 00:00:00 2017,27.578042428630418,47.57686208127595
Fri May 26 00:00:00 2017,22.804371562768853,29.576976530680447
Sat May 27 00:00:00 2017,11.799145698179252,25.142860260071068
Sun May 28 00:00:00 2017,4.26312834126676,6.315709294154872
Mon May 29 00:00:00 2017,19.396392576840448,32.73836839906081
Tue May 30 00:00:00 2017,20.22801878411073,28.233550526392193
Wed May 31 00:00:00 2017,15.127531705315123,31.89497055712532
