Date,Daily Error,Rush Hour Error
Mon May  1 00:00:00 2017,31.748335615146946,68.85976964496189
Tue May  2 00:00:00 2017,24.24513200792839,38.6801935511597
Wed May  3 00:00:00 2017,38.83510676075542,33.81104337705592
Thu May  4 00:00:00 2017,15.608928194854956,32.356765591476766
Fri May  5 00:00:00 2017,22.21762023090267,30.790264918060416
Sat May  6 00:00:00 2017,31.973093946159857,26.945087590016925
Sun May  7 00:00:00 2017,36.51244781207501,64.50973237989139
Mon May  8 00:00:00 2017,39.48646448005945,112.04069519138858
Tue May  9 00:00:00 2017,30.01226552470122,76.06705167649629
Wed May 10 00:00:00 2017,34.26354505810753,35.933046878708055
Thu May 11 00:00:00 2017,13.85208516730234,27.474936756035106
Fri May 12 00:00:00 2017,28.922592207055384,40.65801168861242
Sat May 13 00:00:00 2017,252.53969969572506,456.8766254086416
Sun May 14 00:00:00 2017,133.25471867300038,228.2594759860178
Mon May 15 00:00:00 2017,37.542023611069446,67.34284229934335
Tue May 16 00:00:00 2017,17.91408557397922,46.7708778601144
Wed May 17 00:00:00 2017,30.88768413438855,68.64959842419859
Thu May 18 00:00:00 2017,44.600088271873304,19.665734115766924
Fri May 19 00:00:00 2017,32.09520925990691,85.39223297597115
Sat May 20 00:00:00 2017,29.673420716620644,43.75303896836481
Sun May 21 00:00:00 2017,47.560578010997574,129.46924233132506
Mon May 22 00:00:00 2017,23.160672784510652,48.38878781820357
Tue May 23 00:00:00 2017,17.936617915903735,44.79922042870912
Wed May 24 00:00:00 2017,17.20237318515319,33.88095663855965
Thu May 25 00:00:00 2017,20.44660989825824,30.609525407254417
Fri May 26 00:00:00 2017,30.4619306037947,62.241086165503766
Sat May 27 00:00:00 2017,23.37296254576127,59.9967856342454
Sun May 28 00:00:00 2017,52.175591655964226,85.00931373151832
Mon May 29 00:00:00 2017,30.57621217044162,31.627070820512685
Tue May 30 00:00:00 2017,22.405502028455068,33.685402967034605
Wed May 31 00:00:00 2017,16.05307051677466,44.729618589763646
