,Train Loss,Validation Loss
1,54.96986932163472,34.31793754744202
2,32.03334773897721,27.81235872569611
3,28.920635362235117,25.915696787399508
4,27.907348499722076,25.126944049746772
5,27.234234960655147,25.158301407330857
6,26.51037772246178,24.571544747242058
7,26.008667295712286,24.371059412573093
8,25.453141844923675,24.352407461454437
9,25.16906805935549,24.107029337242277
10,24.723133503276365,24.078395550298765
11,24.43934871317553,24.079238429253042
12,23.999274180420855,23.70364444448474
13,23.8470335520544,23.829379261385178
14,23.543011494207924,23.828935304633568
15,23.286270327338514,24.105629065593245
16,23.206393449801013,23.362845623249033
17,22.994124453530716,24.286543754476323
18,22.758771164364973,23.737095308443354
19,22.647565978134608,24.562079211760285
20,22.47164417229221,23.903207139713444
21,22.541471856166524,24.481353111962544
22,22.24286561466432,23.975443575367745
23,22.153577068356373,23.520041095064805
24,22.039989528153406,23.883932622788915
25,21.782435644187125,24.052679219440165
26,21.692491483218046,24.610646986891606
27,21.832696917059494,24.593330062189644
28,21.68253214973844,24.240257838436165
29,21.54457162705153,24.201713713122842
30,21.54439292142866,23.456467359526965
31,21.476377968020913,23.780304022906414
32,21.3972733589014,23.889240206508735
33,21.2197100364037,23.691858624328024
34,21.128144368531512,23.40562726333553
35,21.066090830748585,23.41625911052394
36,21.134676477018658,24.18779110398723
37,20.955520987317644,24.700527083838868
38,20.957866307195008,23.85994628847866
39,20.938589035982098,23.367718511783618
40,21.027529290967358,23.48045911108511
41,20.7102774746829,24.197522546535083
42,20.67447962930096,24.09524179605007
43,20.514604044683583,24.394393394585265
44,20.352952893275532,23.383987670166924
45,20.405828791410148,24.025654972874044
46,20.282499272079615,23.659052739131567
47,20.231129073928212,24.28499675263914
48,20.140021484483942,24.400313229059652
49,20.19077160718882,24.308818116103264
50,20.11135164143217,23.754428129434423
